nomEtude, complement1, complement2, nomPays, codePays, donnees2017
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Hungary,HUN,72.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,IBRD only,IBD,70.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Iceland,ISL,80.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,IDA & IBRD total,IBT,68.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,IDA blend,IDB,60.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,IDA only,IDX,63.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,IDA total,IDA,62.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,India,IND,67.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Indonesia,IDN,67.3
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Iran, Islamic Rep."",IRN,75"
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Iraq,IRQ,67.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Ireland,IRL,80.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Isle of Man,IMN,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Israel,ISR,80.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Italy,ITA,81
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Jamaica,JAM,73.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Japan,JPN,81
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Jordan,JOR,72.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Kazakhstan,KAZ,68.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Kenya,KEN,64.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Kiribati,KIR,63.2
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Korea, Dem. People's Rep."",PRK,68.3"
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Korea, Rep."",KOR,79.7"
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Kosovo,XKX,69.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Kuwait,KWT,73.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Kyrgyz Republic,KGZ,67.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Lao PDR,LAO,65.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Late-demographic dividend,LTE,73.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Latin America & Caribbean,LCN,72.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Latin America & Caribbean (excluding high income),LAC,72.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Latin America & Caribbean (IDA & IBRD),TLA,72.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Latvia,LVA,69.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Least developed countries: UN classification,LDC,63.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Lebanon,LBN,78.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Lesotho,LSO,52.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Liberia,LBR,61.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Libya,LBY,69.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Liechtenstein,LIE,80.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Lithuania,LTU,69.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Low & middle income,LMY,68.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Low income,LIC,61.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Lower middle income,LMC,66.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Luxembourg,LUX,80.1
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Macao SAR, China"",MAC,81"
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Madagascar,MDG,64.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Malawi,MWI,61
